name,kind,family,version,path,scope
ieee-limitations,core,ieee,0.5.0,skills/ieee-limitations,"honest limitations, failure cases, boundary conditions, ethics, and future work without self-sabotage."
ieee-math-notation,core,ieee,0.5.0,skills/ieee-math-notation,"mathematical notation, assumptions, theorem statements, equations, and symbol consistency."
ieee-method-algorithm,core,ieee,0.5.0,skills/ieee-method-algorithm,"method exposition, notation, algorithms, architecture, and implementation clarity."
ieee-method-details,core,ieee,0.5.0,skills/ieee-method-details,"method section completeness, implementation clarity, architectural motivation, and reproducibility details."
ieee-metrics-evaluation,core,ieee,0.5.0,skills/ieee-metrics-evaluation,"metric selection, evaluation definitions, reporting precision, and interpretation boundaries."
ieee-multimedia-supplement,core,ieee,0.5.0,skills/ieee-multimedia-supplement,"videos, code demos, multimedia items, file captions, and supplementary upload package."
ieee-official-source-audit,core,ieee,0.5.0,skills/ieee-official-source-audit,"mapping workflow rules to IEEE Author Center, target-publication instructions, templates, style manuals, and policy checkpoints before making submission-readiness claims."
ieee-open-access-decision,core,ieee,0.5.0,skills/ieee-open-access-decision,"open access route, funder mandate, license implications, APC reminder, and institutional agreement check."
ieee-polishing,core,ieee,0.5.0,skills/ieee-polishing,technical English polishing for IEEE-style manuscripts.
ieee-preprint-prior-publication,core,ieee,0.5.0,skills/ieee-preprint-prior-publication,"preprint status, prior conference version disclosure, simultaneous submission, and overlap audit."
ieee-problem-formulation,core,ieee,0.5.0,skills/ieee-problem-formulation,"problem definition, assumptions, input-output contract, variables, constraints, and task setup."
ieee-proof-correction,core,ieee,0.5.0,skills/ieee-proof-correction,"proof review, correction discipline, author queries, metadata checks, and post-acceptance risk control."
ieee-reference-integrity,core,ieee,0.5.0,skills/ieee-reference-integrity,"reference completeness, citation order, related-work coverage, and anti-fabrication checks."
ieee-related-work,core,ieee,0.5.0,skills/ieee-related-work,"related work taxonomy, prior-art contrast, citation positioning, and novelty boundaries."
ieee-reproducibility-check,core,ieee,0.5.0,skills/ieee-reproducibility-check,pre-submission reproducibility and evidence audit.
ieee-response,core,ieee,0.5.0,skills/ieee-response,response to reviewer comments for IEEE journals.
ieee-results-reporting,core,ieee,0.5.0,skills/ieee-results-reporting,"results narrative, table/figure coordination, statistical strength, and non-cherry-picked reporting."
ieee-reviewer,core,ieee,0.5.0,skills/ieee-reviewer,pre-submission review simulation for IEEE-style manuscripts.
ieee-reviewer-response-matrix,core,ieee,0.5.0,skills/ieee-reviewer-response-matrix,"point-by-point response matrix, editor letter alignment, change tracking, and tone control."
ieee-revision-diff,core,ieee,0.5.0,skills/ieee-revision-diff,"revision plan, manuscript change log, response evidence, and clean/marked manuscript coordination."
ieee-revision-strategy,core,ieee,0.5.0,skills/ieee-revision-strategy,"major/minor revision planning, experiment triage, response strategy, and change log."
ieee-skill-suite,router,ieee,0.5.0,skills/ieee-skill-suite,"route manuscript requests across journal adapters, component skills, submission-policy skills, official-source audits, and compact/full suite installation modes. Use for IEEE Transactions, Journals, Letters, and IEEE-style technical journal writing."
ieee-statistical-reporting,core,ieee,0.5.0,skills/ieee-statistical-reporting,"confidence intervals, variance, significance testing, robustness, and repeated-run reporting."
ieee-submission-metadata,core,ieee,0.5.0,skills/ieee-submission-metadata,"submission portal metadata, article type, author information, declarations, and upload package checks."
ieee-submission-router,router,ieee,0.5.0,skills/ieee-submission-router,"route submission workflows such as cover letter, author agreement, copyright/license, open access, revision response, final files, proof correction, and official-source checks. Use for IEEE Transactions, Journals, Letters, and IEEE-style technical journal writing."
ieee-supplementary-files,core,ieee,0.5.0,skills/ieee-supplementary-files,"supplementary material organization, file captions, cross-references, and peer-review compatibility."
ieee-supplementary-material,core,ieee,0.5.0,skills/ieee-supplementary-material,"supplementary appendix planning, extra experiments, proofs, data sheets, and demo links."
ieee-table,core,ieee,0.5.0,skills/ieee-table,"submission-ready tables, editable table text, caption logic, notes, abbreviations, and non-duplicative presentation."
ieee-template-paper-miner,core,ieee,0.5.0,skills/ieee-template-paper-miner,using the bundled CC-BY/open-access IEEE template corpus to extract structural patterns without copying scientific content.
ieee-theory-proof,core,ieee,0.5.0,skills/ieee-theory-proof,"theoretical analysis, propositions, assumptions, proof sketches, and mathematical rigor."
ieee-title-author-metadata,core,ieee,0.5.0,skills/ieee-title-author-metadata,"title, author metadata, affiliations, corresponding author details, and front-matter integrity."
ieee-visual-accessibility,core,ieee,0.5.0,skills/ieee-visual-accessibility,"color accessibility, figure readability, font size, grayscale safety, and accessibility-aware graphics."
ieee-writing,core,ieee,0.5.0,skills/ieee-writing,IEEE Transactions and Journals manuscript drafting.
intelligent-transportation-systems-writing,journal-adapter,ieee,0.5.0,skills/intelligent-transportation-systems-writing,"intelligent transportation, autonomous driving, traffic prediction, vehicle infrastructure systems."
jbhi-writing,journal-adapter,ieee,0.5.0,skills/jbhi-writing,"biomedical and health informatics, clinical AI, digital health systems."
pami-writing,journal-adapter,ieee,0.5.0,skills/pami-writing,"computer vision, pattern analysis, machine learning, recognition, representation learning."
tac-writing,journal-adapter,ieee,0.5.0,skills/tac-writing,"control theory, systems, stability, optimization, estimation, and rigorous proofs."
tai-writing,journal-adapter,ieee,0.5.0,skills/tai-writing,"artificial intelligence methods, systems, learning algorithms, and applied AI validation."
tase-writing,journal-adapter,ieee,0.5.0,skills/tase-writing,"automation science, manufacturing systems, logistics, robotics for automation, decision/control systems."
tcomm-writing,journal-adapter,ieee,0.5.0,skills/tcomm-writing,"communication theory, wireless systems, coding, networking, signal processing for communications."
tcsvt-writing,journal-adapter,ieee,0.5.0,skills/tcsvt-writing,"video technology, image/video coding, multimedia systems, visual signal processing."
tcyb-writing,journal-adapter,ieee,0.5.0,skills/tcyb-writing,"cybernetics, computational intelligence, machine learning, control, human-machine systems."
tgrs-writing,journal-adapter,ieee,0.5.0,skills/tgrs-writing,"geoscience and remote sensing, earth observation, hyperspectral/SAR/optical analysis."
tifs-writing,journal-adapter,ieee,0.5.0,skills/tifs-writing,"information forensics, security, privacy, biometrics, trustworthy media."
tip-writing,journal-adapter,ieee,0.5.0,skills/tip-writing,"image processing, restoration, enhancement, compression, analysis, computational imaging."
tkde-writing,journal-adapter,ieee,0.5.0,skills/tkde-writing,"data engineering, knowledge discovery, databases, graph mining, information retrieval."
tmi-writing,journal-adapter,ieee,0.5.0,skills/tmi-writing,"medical imaging, image reconstruction, segmentation, diagnosis assistance, quantitative imaging."
tmm-writing,journal-adapter,ieee,0.5.0,skills/tmm-writing,"multimedia analysis, multimodal learning, retrieval, generation, interaction."
tnnls-writing,journal-adapter,ieee,0.5.0,skills/tnnls-writing,"neural networks, learning systems, optimization, theory, adaptive systems."
tpel-writing,journal-adapter,ieee,0.5.0,skills/tpel-writing,"power electronics, converters, control, reliability, hardware experiments, and energy systems."
tro-writing,journal-adapter,ieee,0.5.0,skills/tro-writing,"robotics algorithms, perception, planning, control, manipulation, field validation."
tsp-writing,journal-adapter,ieee,0.5.0,skills/tsp-writing,"signal processing theory, algorithms, estimation, detection, optimization."
tvcg-writing,journal-adapter,ieee,0.5.0,skills/tvcg-writing,"visualization, visual analytics, graphics, VR/AR, human-centered visual computing."
twc-writing,journal-adapter,ieee,0.5.0,skills/twc-writing,"wireless communication systems, MIMO, networks, resource allocation, 6G-related methods."
